,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1392867455735762950,1392792235192688646,1620920454000.0,2021-05-13 21:10:54,+0530,,Singhvi: That is conspicuous by the entire FIR. We are talking not of apples and oranges but it's the same sec. 3 and 7 of the Essential Commodities Act.,en,[],[],1255161552,1255161552,LiveLawIndia,Live Law,4,21,https://twitter.com/LiveLawIndia/status/1392867455735762950,[],[],0,,False,7,2,1,,Essential Commodities Act,,,,,,,[],,,,
1,1392856618946076673,1392856618946076673,1620917870000.0,2021-05-13 20:27:50,+0530,,"Unless an order is passed expressly regulating a commodity under Section 3(1) for objectives under Section 3(2) of the Essential Commodities Act, even if a commodity is an essential commodity, it would not lead to criminality: Dr Singhvi in Navneet Kalra case.",en,[],[],858905563115147264,858905563115147264,MandhaniApoorva,Apoorva Mandhani,4,20,https://twitter.com/MandhaniApoorva/status/1392856618946076673,[],[],0,,False,9,0,2,,Essential Commodities Act,,,,,,,[],,,,
2,1392854214318039050,1392785067081015307,1620917297000.0,2021-05-13 20:18:17,+0530,,"If drugs are devises and they are to included in the DPCO which is covered under Essential Commodities act, would oxygen concentrators not come under the Essential commodities Act : Court   #NavneetKalra",en,['navneetkalra'],[],67577895,67577895,barandbench,Bar & Bench,4,20,https://twitter.com/barandbench/status/1392854214318039050,[],[],0,,False,4,1,0,,Essential Commodities Act,,,,,,,[],,,,
3,1392854184379047944,1392852781208276996,1620917290000.0,2021-05-13 20:18:10,+0530,,"By a notification, devices have been notified as drugs.  Drugs are controlled by the Drug (Price Control) Order 2013. Essential Commodities Act schedule includes drugs.  Would it not then lead to a conclusion that an oxygen concentrator is an essential commodity? Court asks.",en,[],[],858905563115147264,858905563115147264,MandhaniApoorva,Apoorva Mandhani,4,20,https://twitter.com/MandhaniApoorva/status/1392854184379047944,[],[],0,,False,2,3,0,,Essential Commodities Act,,,,,,,[],,,,
4,1392853488619585545,1392852781208276996,1620917124000.0,2021-05-13 20:15:24,+0530,,"Kalra's lawyer, Dr Abhishek Manu Singhvi is arguing that such an office memorandum wouldn't amount to a notification under the Essential Commodities Act.  But the court is pointing out that it does say that MRP of medical devices cannot be increased more than 10% in a year.",en,[],[],858905563115147264,858905563115147264,MandhaniApoorva,Apoorva Mandhani,4,20,https://twitter.com/MandhaniApoorva/status/1392853488619585545,[],[],0,,False,4,1,0,,Essential Commodities Act,,,,,,,[],,,,
5,1392852584361119749,1392852234581405700,1620916908000.0,2021-05-13 20:11:48,+0530,,"Senior Advocate Abhishek Manu Singhvi arguing on behalf Navneet Kalra in Delhi HC, taking the court through the Essential Commodities Act, says, 'There is nothing of that sort. It requires you to designate a list of items but not every item regulated'  https://t.co/RZHKU3wOei",en,[],[],811972460560019456,811972460560019456,republic,Republic,4,20,https://twitter.com/republic/status/1392852584361119749,['https://www.republicworld.com/livetv.html'],[],0,,False,26,6,0,,Essential Commodities Act,,,,,,,[],,,,
6,1392851515077844994,1392792235192688646,1620916653000.0,2021-05-13 20:07:33,+0530,,"Court: Where is the notification of March 31, 2020 under Drugs Price Control Order. When this order read with Essential Commodities Act, it states that the prices have to be regulated. I understand this is just to ensure that MRP has to be laid down.",en,[],[],1255161552,1255161552,LiveLawIndia,Live Law,4,20,https://twitter.com/LiveLawIndia/status/1392851515077844994,[],[],0,,False,39,1,9,,Essential Commodities Act,,,,,,,[],,,,
7,1392849587321249793,1392792235192688646,1620916194000.0,2021-05-13 19:59:54,+0530,,Singhvi now refers to various provisions of the Essential Commodities Act.  #DelhiCovid #COVID19 #NavneetKalra #OxygenConcentrator,en,"['delhicovid', 'covid19', 'navneetkalra', 'oxygenconcentrator']",[],1255161552,1255161552,LiveLawIndia,Live Law,4,19,https://twitter.com/LiveLawIndia/status/1392849587321249793,[],[],0,,False,19,1,4,,Essential Commodities Act,,,,,,,[],,,,
8,1392849178376609797,1392792235192688646,1620916096000.0,2021-05-13 19:58:16,+0530,,"Singhvi referring to sec. 3 of the Essential Commodities Act.  ""The Act has a dual system. One part requires you to designate list of items which are essential. But it's a misconceived notion that all such items are regulated."" Singhvi argues.",en,[],[],1255161552,1255161552,LiveLawIndia,Live Law,4,19,https://twitter.com/LiveLawIndia/status/1392849178376609797,[],[],0,,False,35,2,6,,Essential Commodities Act,,,,,,,[],,,,
9,1392849116363821070,1392785067081015307,1620916081000.0,2021-05-13 19:58:01,+0530,,There is nothing of that sort : Singhvi as it takes the court through Essential Commodities act (EC Act).   It requires you to designate a list of items but not every item is regulated: Singhvi,en,[],[],67577895,67577895,barandbench,Bar & Bench,4,19,https://twitter.com/barandbench/status/1392849116363821070,[],[],0,,False,1,2,0,,Essential Commodities Act,,,,,,,[],,,,
